English,Turkish
able,yapabilen
about,hakkında
above,üstünde
across,karşısında
act,hareket
action,aksiyon
actually,aslında
add,eklemek
addition,ek olarak
adjective,sıfat
afraid,korkmuş
Africa,Afrika
after,sonra
again,yeniden
against,karşısında
age,yaş
ago,önce
agreed,anlaşıldı
ahead,önünde
air,hava
all,hepsi
allow,izin vermek
almost,neredeyse
alone,yalnız
along,boyunca
already,zaten
also,ayrıca
although,rağmen
always,her zaman
America,Amerika
among,arasında
amount,miktar
an,bir tek
and,ve
angle,açı
animal,hayvan
another,diğer
answer,cevap
any,herhangi
anything,hiçbir şey
appear,gözükmek
apple,elma
area,bölge
arms,kollar
army,ordu
around,etraf
arrived,varmak
art,sanat
as,iken
ask,sormak
away,uzak
baby,bebek
back,arka
bad,kötü
ball,top
bank,banka
base,temel
be,olmak
bear,ayı
beat,yenmek
beautiful,güzel
because,çünkü
become,olmak
bed,yatak
before,önce
began,başlamak
begin,başlamak
behind,arka
being,olmak 
believe,inanmak
bell,zil
belong,ait olmak
below,altında
beside,yanında
best,en iyi
better,daha iyi
between,arasında
big,büyük
bill,fatura
birds,kuşlar
bit,küçük parça
black,siyah
block,engellemek
blood,kan
blow,patlatmak
blue,mavi
board,tablo
boat,bot
body,vücut
bone,kemik
book,kitap
born,doğmuş
both,ikisi de
bottom,dip
box,kutu
boy,erkek çocuk
branch,dal
break,kırmak
bright,parlak
bring,getirmek
British,Britanyalı
broken,kırık
brother,erkek kardeş
brought,getirilmiş
brown,kahverengi
build,bina etmek
building,bina
built,bina edilmiş
burn,yanmak
business,işletme
but,fakat
buy,satın almak
by,tarafından
call,aramak
came,geldi
can,yapabilmek
cannot,yapamamak
capital,başken
captain,yüzbaşı
car,araba
care,önemsemek
carefully,dikkatlice
carry,taşımak
case,dava
cat,kedi
catch,yakalamak
cattle,inek
cause,sebep
cell,hücre
center,merkez
cent,sent
century,yüzyıl
certain,kesin
chance,şans
change,değişmek
chart,tablo
check,kontrol etmek
chief,şef
child,çocuk
children,çocuklar
choose,seçmek
church,kilise
circle,çember
city,şehir
class,sınıf
clean,temiz
clear,temizlemek
climb,tırmanmak
close,kapatmak
cloth,elbise
cloud,bulut
coast,kıyı
cold,soğuk
color,renk
column,kolon
come,gelmek
common,ortak
company,şirket
compare,karşılaştırmak
complete,tamamlanmış
compound,madde
condition,durum
consider,düşünmek
consonant,ünsüz harf
contain,içermek
continue,devam etmek
control,kontrol
cook,pişirmek
cool,soğuk
copy,kopyalamak
corn,mısır
corner,köşe
correct,doğru
cost,masraf
cotton,pamuk
count,saymak
country,ülke
course,kurs
cover,kapsamak
cow,inek
create,oluşturmak
cry,ağlamak
crop,ekin
cross,çapraz
crowd,kalabalık
current,mevcut
cut,kesmek
dance,dans etmek
dark,karanlık
day,gün
dead,ölü
deal,anlaşma
death,ölüm
decide,karar vermek
decimal,ondalık
deep,derin
describe,açıklamak
desert,çöl
design,tasarım
details,ayrıntılar
determine,belirlemek
develope,geliştirmek
dictionary,sözlük
did,yaptı
died,öldü
difference,fark
different,farklı
difficult,zor
direct,direkt
direction,yön
discover,keşfetmek
distance,mesafe
divided,bölünmüş
division,bölüm
do,yapmak
doctor,doktor
does,yapmak
dog,köpek
dollar,dolar
done,yapmak
door,kapı
down,aşağı
draw,çizmek
drawing,çizim
dress,elbise
drive,araba kullanmak
drop,düşmek
dry,kuru
during,boyunca
each,her biri
early,erken
ear,kulak
earth,toprak
east,doğu
easy,kolay
eat,yemek
edge,kenar
effect,etki
egg,yumurta
eight,sekiz
either,ikisi de
electric,elektrik
element,element
else,diğer
end,son
energy,enerji
engine,motor
England,İngiltere
English,İngiliz
enjoy,eğlenmek
enough,yeterli
enter,girmek
entire,tüm
equal,eşit
equation,denklem
especially,özellikle
Europe,Avrupa
even,eşit
evening,akşam
ever,hep
every,hepsi
everyone,herkes
everything,her şey
exactly,aynen
example,örnek
except,hariç
exciting,heyecan verici
exercise,egzersiz
expect,beklemek
experience,tecrübe
experiment,deney
explain,açıklamak
express,ekspres
eye,göz
face,yüz
fact,gerçek
factoriy,fabrika
factors,faktörler
fall,düşmek
family,aile
famous,ünlü
far,uzak
farm,çiftlik
farmer,çiftçi
fast,hızlı
father,baba
fear,korku
feel,hissetmek
feeling,his
feet,ayaklar
fell,düşmüş
felt,hissetmiş
few,birkaç
field,alan
fig,incir
fight,kavga
figure,figür
filled,doldurulmuş
finally,nihayetinde
find,bulmak
fine,iyi
fingers,parmaklar
finished,bitmiş
fire,ateş
first,birinci
fish,balık
fit,uymak
five,beş
flat,düz
